CustomerID;Firma;Ansprechpartner;Segment;Stadt;Region;PLZ;Telefon;Email;Kundenseit
K0001;Löchel;Erika Förster;KMU;LÜBECK;Nord;51161;05940781618;marit95@groettner.com;2022-11-12
K0002;Speer GbR;Annelore Heintze;Großkunde;Aachen;West;64752;05341928327;ohiller@roht.net;2022-09-29
K0003;Ju nk;Erdal Beckmann;Kleinstunternehmen;Erfurt;Ost;64139;03767242388;justine96@kuhl.de;2020-04-22
K0004;Etzler GmbH & Co. OHG;Frau Notburga Biggen B.Sc.;KMU;Wiesbaden;Mitte;26916;0978480184;engelbert46@metz.org;2017-10-26
K0005;Wiek;Prof. Urban Döring;Kleinstunternehmen;München;Süd;89325;+49 (0) 8809 570154;bogdanhendriks@budig.com;2018-02-06
K0006;Neureuther;Raimund Reichmann;KMU;Wiesbaden;Mitte;27824;09638 34657;pdussen-van@bolnbach.com;2015-02-27
K0007;Röhrdanz;Prof. Emil Albers B.Sc.;Kleinstunternehmen;Hannover;Mitte;31051;03473 82997;lilianmuehle@grein.de;2016-02-25
K0008;Löchel Langern GmbH & Co. KG;Michail Söding;Privatkunde;Rostock;Nord;06513;+49(0) 387262473;margrafmandy@dippel.com;2016-04-12
K0009;Reuter;Zbigniew Davids;Kleinstunternehmen;Lübeck;Nord;26773;0026064746;mfoerster@harloff.com;2018-05-29
K0010;Johann;Andrei Sauer;Kleinstunternehmen;Bremen;Nord;88208;+49(0)2191 361939;scholldarius@sontag.de;2019-12-19
K0011;Haase Staude Stiftung & Co. KG;Edith Hettner;Privatkunde;Aachen;West;24751;+49(0)7991183842;raissa13@hoelzenbecher.org;2017-05-14
K0012;Söding;Meinolf Röhrdanz;Privatkunde;Köln;West;12411;02449 35348;dhermann@schulz.org;2020-04-08
K0013;Adler GmbH;Marcel Hesse-Fritsch;Großkunde;Köln;West;86801;+49(0)2805 982620;ottokar05@stoll.com;2017-12-19
K0014;Zahn Römer GmbH & Co. KG;Vincenzo Hellwig-Fröhlich;KMU;Hannover;Mitte;60256;(03421) 60733;tkiller@hauffer.net;2016-11-10
K0015;Jüttner Holsten AG;Gina Segebahn;Privatkunde;Aachen;West;85014;+49 (0) 9401 965569;krauserotraut@grein.org;2019-07-07
K0016;Trommler GmbH & Co. KG;Johan Renner;Großkunde;Aachen;West;56159;01484656482;siegmarstadelmann@stey.org;2015-04-16
K0017;Rogge Ackermann GmbH;Denise Losekann;Privatkunde;Bremen;Nord;77738;02148 951343;gaetanobarth@henschel.com;2018-01-08
K0018;Liebelt Schuchhardt KG;Oscar Textor MBA.;Großkunde;Frankfurt;Mitte;63201;0328708317;luziemitschke@radisch.de;2021-07-25
K0019;Schmidtke Tschentscher GmbH & Co. OHG;Prof. Ingelore Freudenberger;KMU;Erfurt;Ost;74348;03471 434558;etzlergerard@kraus.com;2018-09-12
K0020;Hamann;Harry Ladeck;Privatkunde;Erfurt;Ost;87603;0690967054;ilindner@waehner.net;2018-08-17
K0021;Hartmann Heydrich GmbH & Co. KG;;Großkunde;LÜBECK;Nord;72980;0990162720;rafael53@junken.de;2019-01-21
K0022;Weller Linke GbR;Horst-Peter Bähr;Kleinstunternehmen;Darmstadt;Mitte;53100;+49(0) 309232719;vittoriothies@wilms.com;2022-10-31
K0023;Jockel AG;Vito Jockel;Kleinstunternehmen;Berlin;Ost;63193;+49(0)4919 058651;;2019-07-30
K0024;Fliegner;Dr. Nadeschda Preiß;Privatkunde;Bremen;Nord;98776;(04531) 473799;bkallert@junk.net;2018-04-10
K0025;Heser Karge GbR;Kriemhild Atzler;Großkunde;Kassel;Mitte;13678;+49(0) 777014363;gina95@roehrdanz.de;2021-09-21
K0026;Rogner;Giovanna Tintzmann;Großkunde;HANNOVER;Mitte;44431;+49(0) 518233749;eckhardt34@klingelhoefer.org;2017-12-30
K0027;Trommler KG;Fred Bien-Bloch;Großkunde;Kiel;Nord;27109;+49(0)7775 20471;kuehnertadriana@rust.com;2020-06-06
K0028;Fischer e.V.;Anni Hering;KMU;Dortmund;West;86999;+49(0) 867749649;schmidtvesna@dippel.net;2017-09-05
K0029;Hahn;Maria Butte;Großkunde;Darmstadt;Mitte;32812;+49(0)6797403447;striebitzhorst@zirme.net;2019-05-01
K0030;Drewes Ring GbR;Ulf Hethur-Faust;KMU;Stuttgart;Süd;02499;+49(0)7174 64887;mbutte@loewer.de;2019-12-09
K0031;He rmann;Bartholomäus Hein;Kleinstunternehmen;rostock;Nord;49027;07429 67175;ukade@doehn.com;2017-12-21
K0032;Langern Täsche GmbH & Co. KGaA;Maria-Theresia Kühnert;Großkunde;Aachen;West;71545;+49(0)6808 760385;cschomber@haase.com;2020-06-21
K0033;Mangold Thanel GmbH & Co. KGaA;Alexander Schuchhardt;KMU;Frankfurt;Mitte;24808;0131712748;selim77@meyer.com;2019-11-13
K0034;Grein Groth Scheuermann GmbH & Co. OHG;Steve Bohnbach-Hofmann;Privatkunde;Hamburg;Nord;58404;+49(0)9972 78755;umeyer@thanel.de;2019-01-08
K0035;Wulf GmbH & Co. KG;Giovanni Weinhage;Kleinstunternehmen;Essen;West;66270;+49 (0) 8951 718702;jsoelzer@moechlichen.org;2019-04-16
K0036;Scholz Süßebier GmbH;Slavko Jüttner;KMU;Hannover;Mitte;57809;+49(0)3431 611724;bienmarten@hornig.de;2020-03-20
K0037;Fiebig Henschel GmbH & Co. OHG;Prof. Marit Zorbach;KMU;Aachen;West;22196;(03792) 374740;rhoevel@franke.com;2017-10-21
K0038;Kaul Schaaf GmbH;Univ.Prof. Elfriede Meyer;Kleinstunternehmen;Dresden;Ost;36713;0959440640;auch-schlauchinjuliane@hoerle.net;2018-04-26
K0039;Kitzmann;Univ.Prof. Donald Scholl B.Eng.;Privatkunde;Koeln;West;10470;(05214) 562328;anni84@hertrampf.org;2018-03-18
K0040;Kambs;Horst-Dieter Bruder;KMU;FREIBURG;Süd;36851;0048175496;ekrem37@scholl.de;2022-05-24
K0041;Hartung;Manuel Mitschke;Großkunde;münchen;Süd;61200;;vschaaf@foerster.de;2016-06-22
K0042;Dippel;Prof. Helma Holt B.Sc.;KMU;Kiel;Nord;37735;+49(0)5850 643171;florentineschwital@baerer.com;2016-11-04
K0043;Henk Eberth e.V.;Apostolos Wieloch B.A.;Privatkunde;Essen;West;35290;+49(0)2284 21020;lisbeth39@bachmann.com;2017-07-13
K0044;Weihmann GmbH & Co. KG;;Privatkunde;Halle;Ost;75891;08390 847007;rloos@noack.de;2022-07-16
K0045;Butte GmbH;Antonio Eberth-Höfig;Kleinstunternehmen;Aachen;West;69847;09611 83673;dkambs@liebelt.de;2021-04-18
K0046;Johann Stadelmann GbR;Walli Fliegner;KMU;Aachen;West;11116;+49(0)5280 988516;patricia60@schinke.com;2015-07-05
K0047;Patberg;Curt Sontag MBA.;Kleinstunternehmen;Kiel;Nord;15851;+49(0)9368 99809;angelo24@wiek.org;2022-10-23
K0048;Killer Albers AG & Co. KGaA;Karl-Wilhelm Sontag-Kühnert;Privatkunde;Darmstadt;Mitte;20183;0675254599;birnbaumgerold@wende.com;2018-02-19
K0049;Butte;Inge Speer;KMU;Kiel;Nord;79764;+49(0) 815614978;bartholomaeus36@bluemel.com;2021-02-08
K0050;Jacobi Jäckel AG & Co. OHG;Ralf-Peter Hermighausen-Hoffmann;Großkunde;Köln;West;10762;+49 (0) 6838 851606;miessonia@johann.de;2022-03-04
K0051;Lachmann;Ing. Belinda Lachmann;Kleinstunternehmen;Frankfurt;Mitte;52975;;heinz-willi52@pergande.com;2017-04-28
K0052;Pergande;Torsten Wulf B.Eng.;Privatkunde;HANNOVER;Mitte;23124;+49(0) 292127799;kstiffel@schuster.de;2016-06-16
K0053;Jopich;Heinz-Walter Börner-Möchlichen;Kleinstunternehmen;Kassel;Mitte;44905;;schmiedeckedesiree@kraus.de;2017-09-01
K0054;Röhrdanz;Helmuth Rudolph;Großkunde;Kassel;Mitte;59782;+49(0)7151820377;ottokoehler@kraushaar.de;2020-05-04
K0055;Scheuermann;Rico Schüler;Privatkunde;Dresden;Ost;15186;+49(0)4925 19254;mehlert@caspar.org;2022-05-22
K0056;Kohl;Roselinde Eckbauer;Großkunde;Kassel;Mitte;68505;+49(0)2357 33221;michaela18@warmer.com;2016-03-18
K0057;Kallert;Kornelius Kohl-Fliegner;Privatkunde;Erfurt;Ost;29270;0537947383;wally73@stiebitz.de;2021-07-25
K0058;Wulff Kranz GmbH & Co. OHG;Dr. Rosita Gute;Großkunde;Kassel;Mitte;40758;+49(0)8141 247826;hartungmargitta@keudel.com;2022-05-05
K0059;Paffrath Köster GbR;Annemie Köster-Hauffer;Großkunde;Hannover;Mitte;51522;+49(0)4727790104;martinafischer@vogt.de;2018-07-04
K0060;Wulf GmbH;Ing. Burghard Biggen B.A.;Großkunde;Dresden;Ost;97117;;ilias96@stadelmann.com;2016-01-17
K0061;Klingelhöfer;Winfried Putz;Privatkunde;Berlin;Ost;67065;+49(0)0515 31952;kitzmannbenita@seifert.de;2018-09-12
K0062;Naser;Dr. Anto Trubin;Privatkunde;Lübeck;Nord;04303;+49(0)5486874034;nelli05@ebert.de;2018-12-11
K0063;Mans;Gerti Gotthard-Oestrovsky;Privatkunde;Rostock;Nord;58416;+49(0)6928 451154;tilo96@stumpf.de;2016-04-15
K0064;Berger Vogt GmbH;Ing. Mandy Zorbach;Privatkunde;Aachen;West;16582;+49(0)2970213556;schleichgerhart@mende.de;2022-10-11
