SalesRepID;Vorname;Nachname;Region;Email;Eintrittsdatum
SR001;Felicitas;Dowerg;Nord;felicitas.dowerg@techtrade.de;2021-08-02
SR002;Andrei;Weihmann;Süd;andrei.weihmann@techtrade.de;2018-08-17
SR003;Karl Heinz;Henschel;West;karlheinz.henschel@techtrade.de;2018-02-21
SR004;Hellmuth;Etzold;Ost;hellmuth.etzold@techtrade.de;2022-02-27
SR005;Jennifer;Dobes;Mitte;jennifer.dobes@techtrade.de;2019-07-18
SR006;Gülay;Weihmann;Nord;gülay.weihmann@techtrade.de;2019-05-17
SR007;Rosalie;Ritter;Süd;rosalie.ritter@techtrade.de;2019-04-03
SR008;Dieter;Schäfer;West;dieter.schäfer@techtrade.de;2018-10-13
SR009;Sigfried;Beckmann;Ost;sigfried.beckmann@techtrade.de;2022-02-17
SR010;Ansgar;Davids;Mitte;ansgar.davids@techtrade.de;2018-07-29
SR011;Heinz-Jürgen;Heintze;Nord;heinz-jürgen.heintze@techtrade.de;2021-10-17
SR012;Alwine;Schleich;Süd;alwine.schleich@techtrade.de;2022-02-25
SR013;Andrew;Rörricht;West;andrew.rörricht@techtrade.de;2021-01-21
SR014;Hans-Uwe;Trubin;Ost;hans-uwe.trubin@techtrade.de;2018-06-28
SR015;Friedlinde;Tintzmann;Mitte;friedlinde.tintzmann@techtrade.de;2021-04-24
SR016;Beatrix;Lindner;Nord;beatrix.lindner@techtrade.de;2020-05-14
SR017;Heinz-Werner;Meister;Süd;heinz-werner.meister@techtrade.de;2018-03-07
SR018;Damaris;Holsten;West;damaris.holsten@techtrade.de;2018-03-03
SR019;Mara;Albers;Ost;mara.albers@techtrade.de;2018-07-11
SR020;Katy;Freudenberger;Mitte;katy.freudenberger@techtrade.de;2019-03-24
